<CMDLINE C:\Users\lenna\PycharmProjects\DD2358-Neurals\.venv\Scripts\python.exe artificialneuralnetwork.py
MEM 3.519531 1739783589.6808
MEM 3.519531 1739783589.7815
MEM 3.519531 1739783589.8821
MEM 3.519531 1739783589.9824
MEM 3.519531 1739783590.0827
MEM 3.519531 1739783590.1833
MEM 3.519531 1739783590.2839
MEM 3.519531 1739783590.3844
MEM 3.519531 1739783590.4851
MEM 3.519531 1739783590.5856
MEM 3.519531 1739783590.6860
MEM 3.519531 1739783590.7864
MEM 3.519531 1739783590.8871
MEM 3.519531 1739783590.9877
MEM 3.519531 1739783591.0883
MEM 3.519531 1739783591.1888
MEM 3.519531 1739783591.2894
MEM 3.519531 1739783591.3898
MEM 3.519531 1739783591.4901
MEM 3.519531 1739783591.5907
MEM 3.519531 1739783591.6914
MEM 3.519531 1739783591.7920
MEM 3.519531 1739783591.8927
MEM 3.519531 1739783591.9934
MEM 3.519531 1739783592.0939
MEM 3.519531 1739783592.1942
MEM 3.519531 1739783592.2945
MEM 3.519531 1739783592.3953
MEM 3.519531 1739783592.4959
MEM 3.519531 1739783592.5963
MEM 3.519531 1739783592.6978
MEM 3.519531 1739783592.7991
MEM 3.519531 1739783592.8996
MEM 3.519531 1739783592.9998
MEM 3.519531 1739783593.1002
MEM 3.519531 1739783593.2005
MEM 3.519531 1739783593.3010
MEM 3.519531 1739783593.4017
MEM 3.519531 1739783593.5018
MEM 3.519531 1739783593.6024
MEM 3.519531 1739783593.7027
MEM 3.519531 1739783593.8031
MEM 3.519531 1739783593.9038
MEM 3.519531 1739783594.0045
MEM 3.519531 1739783594.1050
MEM 3.519531 1739783594.2053
MEM 3.519531 1739783594.3061
MEM 3.519531 1739783594.4063
MEM 3.519531 1739783594.5068
MEM 3.519531 1739783594.6070
MEM 3.519531 1739783594.7075
MEM 3.519531 1739783594.8082
MEM 3.519531 1739783594.9088
MEM 3.519531 1739783595.0097
MEM 3.519531 1739783595.1107
MEM 3.519531 1739783595.2111
MEM 3.519531 1739783595.3118
